Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
306,K8CAD,146.980000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8CAD near Cadillac, Wexford County, Michigan OPEN One mile north of TV-9 tower.",,,,
307,W8IRA,147.160000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8IRA near Cadillac, Wexford County, Michigan OPEN",,,,
308,W8MAB,147.210000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8MAB near Bitely, Newaygo County, Michigan OPEN",,,,
309,AC8GN,146.960000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"AC8GN near Saugatuck, Allegan County, Michigan OPEN",,,,
310,AC8GN,442.700000,+,5.000000,Cross,88.5,94.8,023,NN,023,->Tone,FM,5.00,,50W,"AC8GN near Saugatuck, Allegan County, Michigan OPEN",,,,
311,N8VPZ,146.920000,-,0.600000,TSQL,88.5,156.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8VPZ near Cassopolis, Cass County, Michigan OPEN Backup repeater to KU8Y 145.210 for Cass county RACES/Skywarn",,,,
312,WD8MKG,147.320000,+,0.600000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WD8MKG near Holton, Muskegon County, Michigan OPEN Non-club affiliated repeater opened to all licensed amateur radio operators.",,,,
313,Manning Hill,146.760000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8PA near Alpena, Alpena County, Michigan OPEN",,,,
314,W6GVS,146.500000,+,1.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"W6GVS near Dowagiac, Cass County, Michigan OPEN",,,,
315,W8CSO,145.490000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"W8CSO near Grand Haven, Ottawa County, Michigan OPEN Local Net - Tuesday, 8pm West Michigan K8SN Emergency Communications Net - Wednesday, 8pm",,,,
316,W8CSO,443.775000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W8CSO near Grand Haven, Ottawa County, Michigan OPEN",,,,
317,Wolf Lake,146.900000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"AF8U near Baldwin, Lake County, Michigan OPEN",,,,
318,N8UKF,443.200000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8UKF near Norton Shores, Muskegon County, Michigan OPEN",,,,
319,W8MAI,146.820000,-,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8MAI near Sister Lakes, Van Buren County, Michigan OPEN",,,,
320,W8IRA,145.330000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8IRA near Muskegon, Muskegon County, Michigan OPEN",,,,
321,K8WNJ,146.820000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8WNJ near Muskegon, Muskegon County, Michigan OPEN",,,,
322,W8ZHO,146.940000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8ZHO near Muskegon, Muskegon County, Michigan OPEN Hometown Radio Club - Muskegon Area Amateur Radio Council",,,,
323,N8KQQ,224.700000,-,1.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8KQQ near Muskegon, Muskegon County, Michigan OPEN",,,,
324,N8UKF,442.300000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8UKF near Muskegon, Muskegon County, Michigan OPEN Repeater is linked to FCS Reflector 4 - Room 034",,,,
325,N8KQQ,442.950000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8KQQ near Muskegon, Muskegon County, Michigan OPEN",,,,
326,W8ZHO,444.550000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8ZHO near Muskegon, Muskegon County, Michigan OPEN",,,,
327,K8WNJ,444.950000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8WNJ near Muskegon, Muskegon County, Michigan OPEN",,,,
